"ID","east","north","price","fl_area"
"997",537700,174200,104000,134
"998",527000,173300,445000,210
"999",507900,182100,99500,88
"1000",513600,181400,126000,116
"1001",514100,172900,93500,71
"1002",524300,178900,334000,180
"1003",528100,183600,292000,100
"1004",542000,188900,149000,130
"1005",529700,184300,150000,115
"1006",533700,165700,38000,50
"1007",515500,180800,220000,142
"1008",533600,198100,60000,62
"1009",529100,168600,90000,87
"1010",518600,168500,137000,90
"1011",551700,188100,84000,93
"1012",509600,186600,81500,58
"1013",511400,186000,158000,113
"1014",518800,165800,79900,71
"1015",545400,186000,168000,104
"1016",543500,177200,86500,70
"1017",519600,190400,118000,79
"1018",528200,167500,87000,78
"1019",552000,188000,60000,68
"1020",506400,181200,53000,47
"1021",529000,178300,293000,110
"1022",515500,189600,58500,56
"1023",536500,189300,56995,65
"1024",519200,190000,60000,45
"1025",526100,176500,129950,73
"1026",514700,190100,85000,93
"1027",536500,183400,57500,46
"1028",513800,183100,76000,78
"1029",526900,171700,81950,63
"1030",527600,165700,119950,106
"1031",528900,194700,73000,72
"1032",539800,181400,44500,72
"1033",544700,178400,39000,56
"1034",523400,185800,95000,89
"1035",525000,191100,99000,80
"1036",515900,188100,137950,62
"1037",531400,182700,91000,67
"1038",526200,163300,63650,51
"1039",523900,184900,120000,67
"1040",530100,168500,63000,129
"1041",520400,179900,104000,125
"1042",533600,181800,198400,82
"1043",526400,177300,115000,70
"1044",523500,179400,165000,106
"1045",507200,183300,90000,80
"1046",534800,185900,89950,146
"1047",529300,181500,430000,120
"1048",530700,195000,88500,73
"1049",544200,187300,39000,40
"1050",516200,185300,77000,74
"1051",540600,183500,54500,86
"1052",552300,184400,82000,94
"1053",530000,189200,187000,98
"1054",510900,182100,55000,58
"1055",545300,175100,105000,115
"1056",548100,188100,40000,62
"1057",541200,176800,100000,104
"1058",540100,174100,128000,100
"1059",517700,178900,109000,98
"1060",516600,181600,67000,42
"1061",545100,165300,132000,98
"1062",520600,177800,360000,156
"1063",533400,160900,154000,115
"1064",545100,186800,103800,110
"1065",536300,183200,315000,175
"1066",535400,185600,132500,150
"1067",540600,174300,178000,119
"1068",527800,165900,49500,79
"1069",534500,168000,89000,101
"1070",525100,195600,116000,112
"1071",528500,169100,58950,52
"1072",521600,184200,70000,76
"1073",519400,170000,95000,66
"1074",534500,166600,35500,55
"1075",545800,187200,74500,105
"1076",545500,178400,58000,67
"1077",525900,166000,167000,144
"1078",541500,158500,78000,98
"1079",540800,192200,315000,228
"1080",542100,183100,86995,116
"1081",530200,182200,112500,76
"1082",529100,187900,192500,92
"1083",540700,192800,270000,165
"1084",543100,178300,45000,53
"1085",546700,178600,78000,80
"1086",505900,177200,68500,72
"1087",534000,174200,120000,93
"1088",553300,186400,84000,85
"1089",524100,196800,138000,102
"1090",516700,181500,364000,201
"1091",515700,189300,57000,52
"1092",535900,190400,89000,101
"1093",527600,188500,110000,82
"1094",533000,188100,70000,68
"1095",527700,174500,137000,70
"1096",507400,186500,160000,140
"1097",542500,187600,178000,206
"1098",547800,167500,80000,94
"1099",532600,170600,77000,78
"1100",529800,189300,272000,147
"1101",524400,168900,123700,100
"1102",543800,177500,80000,140
"1103",528100,169400,51000,65
"1104",542400,166100,111500,96
"1105",532000,173900,88500,71
"1106",550500,188600,82500,87
"1107",532500,162700,58950,80
"1108",519100,169400,185200,143
"1109",540600,178300,49950,58
"1110",537100,198700,76000,97
"1111",509600,171500,97500,118
"1112",506200,179400,55000,78
"1113",523900,174900,99950,48
"1114",539500,175600,94000,76
"1115",537500,173700,71500,82
"1116",551500,183800,43995,48
"1117",526000,185200,65000,60
"1118",528700,171000,92000,82
"1119",532600,185500,135000,103
"1120",508400,177100,79950,82
"1121",538300,174200,71000,118
"1122",516600,174100,246000,156
"1123",518100,180800,158500,80
"1124",519200,169900,165000,90
"1125",538400,188600,97000,90
"1126",547800,187100,59995,78
"1127",531100,184800,179000,116
"1128",534300,167200,46250,58
"1129",515400,172400,165000,103
"1130",526200,174800,103000,77
"1131",511300,190200,210000,182
"1132",547000,185000,49995,68
"1133",533600,195100,133000,109
"1134",543700,172000,132000,91
"1135",550700,192000,77000,90
"1136",521600,166700,74000,84
"1137",527800,172500,68000,51
"1138",517300,178800,153000,89
"1139",521000,179700,250000,104
"1140",507500,184600,184500,124
"1141",543200,190700,67000,80
"1142",522500,165400,130000,98
"1143",555200,186700,105000,97
"1144",519400,180700,155000,83
"1145",546000,176200,73000,97
"1146",526800,164700,141950,114
"1147",534300,168400,65000,162
"1148",526100,173000,200000,135
"1149",510800,189600,81500,74
"1150",524900,168800,110000,70
"1151",527500,175000,359000,200
"1152",525800,173000,79000,51
"1153",529600,194100,173000,123
"1154",509500,178800,86960,73
"1155",534400,192200,84500,98
"1156",528600,170200,100000,108
"1157",525700,192000,225000,156
"1158",524400,180200,270000,90
"1159",515100,188900,73000,62
"1160",518000,183200,85000,81
"1161",525200,184900,90000,49
"1162",511000,185900,114150,70
"1163",518900,171000,249000,165
"1164",530800,173800,155000,159
"1165",517400,190100,137000,107
"1166",530400,191400,82000,70
"1167",515700,183200,110000,95
"1168",517200,179900,110000,63
"1169",525600,163600,62500,60
"1170",524700,187700,155000,79
"1171",524000,170000,135000,85
"1172",528900,163700,56750,58
"1173",540300,169400,98500,97
"1174",527500,192300,149000,115
"1175",522400,191000,85000,65
"1176",532500,197200,68000,63
"1177",537200,177500,90000,120
"1178",551900,188100,68500,96
"1179",514700,190600,112000,93
"1180",518600,175200,289950,98
"1181",526100,191500,137500,101
"1182",521000,169100,285000,189
"1183",535500,183100,80000,64
"1184",526800,175200,152500,84
"1185",528800,176700,96000,62
"1186",539000,175100,132000,114
"1187",528500,190700,76000,93
"1188",536100,170600,81000,86
"1189",525300,163500,100000,89
"1190",515200,190300,105500,126
"1191",533300,188800,75000,93
"1192",535300,171900,103000,112
"1193",509700,186000,72950,72
"1194",525400,189700,67000,81
"1195",531400,185800,96000,65
"1196",505700,178500,86000,88
"1197",540300,176900,78000,50
"1198",508700,186700,92000,114
"1199",505400,179000,85500,73
"1200",511400,182100,116000,111
"1201",541100,190100,106500,98
"1202",538800,175700,90000,72
"1203",544700,186100,101995,81
"1204",526900,164300,128000,119
"1205",527500,169300,65000,50
"1206",522200,175400,140000,85
"1207",537500,174600,54000,58
"1208",521700,183300,112500,130
"1209",527600,193400,62000,62
"1210",524700,178200,230000,125
"1211",531300,172200,45000,68
"1212",544900,187200,111000,108
"1213",515100,180100,180000,103
"1214",531900,176700,127000,94
"1215",541300,191500,90000,94
"1216",509700,181100,242500,188
"1217",517100,191300,152000,108
"1218",516600,188600,170000,122
"1219",536800,181900,48000,103
"1220",523100,178800,83500,54
"1221",543400,169700,67500,71
"1222",521700,190400,73000,122
"1223",516700,179700,173000,90
"1224",523100,195800,90750,80
"1225",540000,181700,70000,130
"1226",543000,185700,68000,92
"1227",527100,170900,70000,54
"1228",540700,169800,82000,74
"1229",531300,188600,83000,75
"1230",515300,189800,93000,91
"1231",525400,162100,138000,104
"1232",545300,187700,44000,47
"1233",515200,171800,137500,81
"1234",542400,175200,48000,62
"1235",533000,179500,172500,94
"1236",529100,174300,129950,72
"1237",554200,181000,87500,169
"1238",528700,185600,110000,67
"1239",535300,171000,46000,70
"1240",518000,174700,158000,58
"1241",526100,184500,315000,150
"1242",540200,187100,195000,146
"1243",515800,173800,219950,112
"1244",518700,166000,137000,90
"1245",518200,165700,67000,46
"1246",522200,185000,67000,50
"1247",520100,180800,95000,72
"1248",509100,187500,73000,83
"1249",529000,164600,59950,45
"1250",535700,184100,130000,100
"1251",524800,167000,79000,107
"1252",538100,176100,53000,88
"1253",547300,187700,92500,100
"1254",533300,166000,102500,109
"1255",549100,175800,130000,148
"1256",531700,178400,162500,220
"1257",547600,165900,119995,112
"1258",511100,189800,70000,67
"1259",527700,188600,260000,150
"1260",532600,189400,54500,69
"1261",531200,189200,71500,68
"1262",538000,189300,49995,42
"1263",529800,175500,118000,95
"1264",530600,189000,72500,46
"1265",546200,172800,123000,96
"1266",534000,182800,176000,105
"1267",520100,178800,102000,54
"1268",532200,188600,52500,52
"1269",527000,165400,100000,86
"1270",524600,176400,175000,77
"1271",520400,187500,84500,76
"1272",542200,190600,123950,100
"1273",535000,185200,90000,142
"1274",508100,185900,133000,111
"1275",530800,180200,266000,74
"1276",531100,187700,122000,70
"1277",530500,186700,60000,84
"1278",527600,171700,137000,118
"1279",529900,187700,165000,145
"1280",520700,175600,210000,122
"1281",534700,167200,77500,69
"1282",529800,174600,330000,174
"1283",516900,183900,100000,92
"1284",519400,190100,129350,96
"1285",510300,186300,107000,102
"1286",513400,175100,59950,44
"1287",546300,169400,77000,83
"1288",509700,179500,74500,74
"1289",531200,172200,40000,49
"1290",527300,180900,335000,113
"1291",543700,178100,60000,94
"1292",537700,175100,113000,147
"1293",526900,192200,82500,64
"1294",519300,163800,84950,66
"1295",526800,175700,73000,92
"1296",527900,172800,126000,87
"1297",525600,170500,158000,97
"1298",528700,184700,88000,46
"1299",532400,181800,130000,65
"1300",549200,178800,113000,105
"1301",542200,166800,67500,96
"1302",528400,165900,94995,70
"1303",525800,182000,115000,54
"1304",519500,170300,87000,65
"1305",529900,186400,52500,67
"1306",526400,184700,153000,50
"1307",542300,191500,106500,95
"1308",539900,170100,63000,60
"1309",548200,178900,69000,73
"1310",515600,183400,57500,42
"1311",507500,183100,84950,83
"1312",534200,172100,78000,93
"1313",523900,171100,184000,120
"1314",510200,181400,146700,127
"1315",544600,173000,125000,97
"1316",551600,182900,84000,103
"1317",531700,194800,185000,145
"1318",524100,180300,170000,58
"1319",550200,188200,51000,84
"1320",535700,175500,62500,65
"1321",533000,176400,48000,38
"1322",542300,184300,65500,87
"1323",533000,176600,56500,56
"1324",514200,174300,94950,56
"1325",515600,176400,97187,92
"1326",527700,171800,82000,70
"1327",523300,168200,165000,130
"1328",512600,184500,103000,96
"1329",534200,169100,124950,84
"1330",505400,183200,48950,35
"1331",511000,182100,56500,71
"1332",520200,184800,74000,139
"1333",523200,166100,98000,75
"1334",527900,187500,196500,92
"1335",530400,173000,67000,61
"1336",516900,191700,71500,63
"1337",541700,184700,79995,101
"1338",546100,167600,54500,53
"1339",507900,183900,92000,84
"1340",525400,164600,103000,104
"1341",539600,181800,68000,97
"1342",553800,187700,63500,55
"1343",540300,174100,125000,104
"1344",525400,168500,218000,152
"1345",532500,167700,68500,75
"1346",530400,187800,81000,64
"1347",543400,182700,66000,117
"1348",524800,182600,102000,60
"1349",526100,166600,76000,71
"1350",518500,174900,197500,78
"1351",540500,189500,54000,88
"1352",520800,191600,86500,87
"1353",524200,181700,186000,93
"1354",535400,197600,96000,116
"1355",505300,183800,139950,117
"1356",506100,179600,125000,118
"1357",521900,179600,230000,120
"1358",525400,180600,225000,79
"1359",514400,188000,64000,57
"1360",538300,187700,75000,100
"1361",508800,181000,83000,106
"1362",527500,169400,88000,97
"1363",521300,175700,255000,93
"1364",535600,162400,126950,108
"1365",526400,194800,280000,127
"1366",549200,175900,140000,120
"1367",515400,176100,80000,89
"1368",519100,169900,127000,87
"1369",528900,164400,60000,60
"1370",525400,183800,166500,101
"1371",523500,174600,87000,73
"1372",527800,171700,130000,106
"1373",524100,166400,114950,82
"1374",541400,181600,59995,120
"1375",514600,182500,106000,88
"1376",528000,176400,52000,83
"1377",539300,169400,142000,127
"1378",537100,182700,70000,60
"1379",531200,194600,243000,129
"1380",527900,166100,58000,48
"1381",522900,168500,139950,120
"1382",518800,163600,125000,98
"1383",522200,177600,134000,70
"1384",526700,175100,85000,46
"1385",528900,194900,99000,96
"1386",526700,165900,77000,80
"1387",527000,171600,76000,80
"1388",538700,185600,64000,76
"1389",540900,173700,64000,77
"1390",526000,173800,59999,52
"1391",552000,190400,246000,155
"1392",536000,169200,122000,127
"1393",532000,172200,79000,75
"1394",536600,165300,139950,110
"1395",527600,193300,65000,54
"1396",520000,186900,250000,136
"1397",511300,176400,66950,105
"1398",522400,166400,119950,85
"1399",528300,175900,151500,75
"1400",528800,171300,230000,178
"1401",515600,173100,68500,44
"1402",513200,186500,58500,59
"1403",542900,189500,247000,185
"1404",524900,185300,153000,96
"1405",522000,185400,146250,111
